s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,margin,label,gold_db,qwen_top1,ce_predicted,qwen_correct
0.9,0.6,0.1,0.1,0.1,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,music_1,music_1,music_1,1
0.85,0.75,0.3,0.2,0.1,0.1,0.1,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.1,1,election,election,election,1
0.85,0.75,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,music_1,music_1,music_1,1
1.0,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.85,0.75,0.65,0.55,0.15,0.1,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.1,1,election,election,election,1
0.95,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0,music_2,music_2,music_2,1
0.95,0.2,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.75,0,music_2,music_2,music_2,1
0.95,0.85,0.7,0.6,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,election,county_public_safety,county_public_safety,0
0.9,0.85,0.75,0.6,0.3,0.2,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,election,election,party_people,1
0.95,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.85,0,music_2,music_2,music_2,1
0.95,0.9,0.2,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,election,county_public_safety,election,0
0.95,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.95,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0,music_2,music_2,music_2,1
0.95,0.85,0.75,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.1,1,election,election,election,1
0.95,0.9,0.7,0.15,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,election,election,election,1
0.85,0.35,0.3,0.2,0.15,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.5,0,music_2,music_2,music_2,1
0.95,0.9,0.2,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,election,election,election,1
0.85,0.7,0.6,0.5,0.3,0.25,0.2,0.2,0.1,0.1,0.05,0.05,0.0,0.0,0.0,0.15,1,music_2,music_2,music_2,1
0.95,0.7,0.2,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,music_2,music_2,music_2,1
0.95,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.95,0.9,0.8,0.7,0.1,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,election,election,county_public_safety,1
0.95,0.9,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.05,1,election,election,election,1
0.95,0.9,0.7,0.6,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,election,county_public_safety,county_public_safety,0
0.9,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.85,0,election,election,election,1
0.85,0.75,0.15,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.1,1,election,election,election,1
0.9,0.85,0.75,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.05,1,election,party_host,party_people,0
0.95,0.75,0.7,0.6,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,1,music_2,music_tracker,music_2,0
0.95,0.9,0.85,0.8,0.75,0.7,0.4,0.35,0.3,0.25,0.2,0.0,0.0,0.0,0.0,0.05,1,music_2,music_2,music_2,1
0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.5,0.4,0.3,0.2,0.15,0.1,0.0,0.0,0.05,1,music_2,music_4,singer,0
0.95,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0,music_2,music_2,music_2,1
0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.5,0.4,0.3,0.2,0.0,0.0,0.0,0.0,0.05,1,election,party_people,party_people,0
0.9,0.85,0.85,0.75,0.75,0.7,0.6,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.05,1,music_2,music_4,singer,0
0.85,0.6,0.5,0.4,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,election,election,election,1
0.95,0.8,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.15,1,music_2,store_1,music_2,0
0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0,music_2,music_2,music_2,1
0.85,0.75,0.7,0.65,0.6,0.55,0.5,0.4,0.35,0.3,0.2,0.1,0.05,0.0,0.0,0.1,1,music_2,music_4,singer,0
0.85,0.75,0.65,0.55,0.3,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.1,1,election,election,election,1
0.7,0.15,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.55,0,election,legislator,election,0
0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.95,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0,music_2,music_2,music_2,1
0.6,0.2,0.1,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,election,legislator,election,0
0.95,0.7,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.25,0,music_2,music_2,music_2,1
0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,election,legislator,election,0
0.9,0.7,0.6,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0,election,election,election,1
0.95,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.85,0.75,0.7,0.7,0.65,0.6,0.2,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.1,1,election,election,election,1
0.85,0.75,0.6,0.2,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.1,1,election,legislator,election,0
0.5,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,election,legislator,election_representative,0
0.95,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0,music_2,music_2,music_2,1
0.95,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,election,election,election,1
0.85,0.6,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.0,0.0,0.25,0,election,election,election,1
0.95,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.85,0,music_2,music_2,music_2,1
0.95,0.15,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,music_2,music_2,music_2,1
0.85,0.6,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.25,0,election,election,election,1
0.95,0.15,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,music_2,music_2,music_2,1
0.85,0.75,0.7,0.6,0.3,0.2,0.15,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.1,1,music_2,music_2,music_2,1
0.95,0.75,0.7,0.6,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.2,1,election_representative,election_representative,election_representative,1
0.95,0.85,0.75,0.7,0.3,0.2,0.15,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.1,1,music_2,music_2,music_2,1
0.95,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.9,0,election_representative,election_representative,election_representative,1
0.95,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,election_representative,election_representative,election_representative,1
0.85,0.3,0.2,0.15,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.55,0,music_2,music_2,music_2,1
0.95,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.95,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.95,0.85,0.75,0.3,0.2,0.15,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.1,1,election_representative,election_representative,election_representative,1
0.85,0.8,0.75,0.6,0.5,0.4,0.4,0.3,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.05,1,election_representative,party_people,party_people,0
0.95,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.85,0.25,0.2,0.15,0.15,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.6,0,music_2,music_2,music_2,1
0.85,0.2,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.65,0,music_2,music_2,music_2,1
0.9,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.8,0,election_representative,election_representative,election_representative,1
0.95,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.85,0.7,0.3,0.2,0.15,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1,election_representative,geo,election_representative,0
0.95,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.9,0.9,0.85,0.75,0.65,0.4,0.3,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,election_representative,legislator,e_government,0
0.85,0.75,0.6,0.3,0.2,0.15,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,1,election_representative,legislator,election_representative,0
0.95,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.85,0.8,0.75,0.2,0.15,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,entertainment_awards,entertainment_awards,entertainment_awards,1
0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0,music_2,music_2,music_2,1
0.95,0.1,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.85,0,entertainment_awards,entertainment_awards,entertainment_awards,1
0.85,0.75,0.7,0.6,0.4,0.3,0.25,0.2,0.2,0.15,0.1,0.0,0.0,0.0,0.0,0.1,1,music_2,music_2,music_2,1
0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0,election_representative,election,election_representative,0
0.95,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.9,0,entertainment_awards,entertainment_awards,entertainment_awards,1
0.95,0.2,0.15,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.75,0,music_2,music_2,music_2,1
0.95,0.6,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.35,0,entertainment_awards,entertainment_awards,entertainment_awards,1
0.95,0.75,0.7,0.6,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.2,1,music_2,music_2,music_2,1
0.95,0.7,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,entertainment_awards,art_1,entertainment_awards,0
0.85,0.7,0.2,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1,entertainment_awards,art_1,entertainment_awards,0
0.95,0.7,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.25,0,music_2,music_2,music_2,1
0.95,0.85,0.8,0.1,0.1,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.1,1,entertainment_awards,entertainment_awards,entertainment_awards,1
0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.95,0.15,0.1,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,entertainment_awards,entertainment_awards,entertainment_awards,1
0.95,0.3,0.2,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.65,0,music_2,music_2,music_2,1
0.95,0.7,0.6,0.3,0.2,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,entertainment_awards,entertainment_awards,entertainment_awards,1
0.95,0.75,0.7,0.6,0.4,0.2,0.1,0.1,0.1,0.1,0.05,0.05,0.0,0.0,0.0,0.2,1,music_2,music_2,music_2,1
0.95,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.85,0,music_4,music_4,music_4,1
0.85,0.2,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.65,0,entertainment_awards,entertainment_awards,entertainment_awards,1
0.95,0.9,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.2,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.75,0,music_4,music_4,music_4,1
0.9,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,music_4,music_4,music_4,1
0.9,0.85,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,entrepreneur,entrepreneur,entrepreneur,1
0.85,0.8,0.75,0.5,0.3,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.05,1,music_2,music_2,music_2,1
0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.85,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,music_4,music_4,music_4,1
0.95,0.85,0.15,0.15,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,entertainment_awards,csu_1,entertainment_awards,0
0.95,0.9,0.85,0.15,0.1,0.1,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.05,1,music_4,music_4,music_4,1
0.95,0.15,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.8,0,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.85,0.8,0.75,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.1,1,music_4,music_4,music_4,1
0.95,0.05,0.05,0.05,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.85,0.75,0.7,0.65,0.6,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.1,1,music_4,music_4,music_4,1
0.95,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.1,1,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,music_4,music_4,music_4,1
0.95,0.85,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,music_4,music_4,music_4,1
0.95,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.1,1,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.9,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,music_4,music_4,music_4,1
0.95,0.1,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.85,0,entrepreneur,entrepreneur,entrepreneur,1
0.85,0.8,0.7,0.15,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.05,1,music_4,entertainment_awards,music_4,0
0.95,0.7,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.25,0,entrepreneur,entrepreneur,entrepreneur,1
0.85,0.25,0.2,0.15,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0,music_4,music_4,music_4,1
0.95,0.7,0.6,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.85,0.15,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.1,1,music_4,music_4,music_4,1
0.95,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.85,0,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.9,0,music_4,music_4,music_4,1
0.85,0.8,0.75,0.7,0.7,0.2,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.05,1,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.15,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.8,0,music_4,music_4,music_4,1
0.9,0.8,0.75,0.7,0.7,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.1,1,entrepreneur,entrepreneur,network_2,1
0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.2,0.15,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0,music_4,music_4,music_4,1
0.85,0.65,0.2,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.2,1,music_4,music_4,music_4,1
0.95,0.1,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.85,0,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.95,0.95,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,1,entrepreneur,company_employee,company_employee,0
0.9,0.3,0.25,0.2,0.15,0.15,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.6,0,music_4,music_4,music_4,1
0.85,0.2,0.15,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.65,0,music_4,music_4,music_4,1
0.95,0.95,0.9,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,1,entrepreneur,company_office,company_office,0
0.95,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0,music_4,music_4,music_4,1
1.0,0.7,0.6,0.3,0.2,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.3,0,music_4,entertainment_awards,music_4,0
0.95,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.92,0,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.9,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.05,1,entrepreneur,entrepreneur,entrepreneur,1
0.95,0.85,0.7,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.1,1,music_4,entertainment_awards,music_4,0
0.95,0.85,0.7,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,epinions_1,epinions_1,epinions_1,1
0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,music_4,music_4,music_4,1
0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,music_4,music_4,music_4,1
0.95,0.85,0.8,0.75,0.7,0.65,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,epinions_1,epinions_1,epinions_1,1
